coupon,isin,issue_date,maturity_date,date,close_price
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/14/2026,98.67
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/15/2026,98.73
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/16/2026,98.72
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/5/2026,100.22
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/6/2026,100.30
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/7/2026,100.28
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/8/2026,100.31
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/9/2026,100.30
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/12/2026,100.32
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/13/2026,100.30
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/14/2026,100.31
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/15/2026,100.35
CAN 2.75 Sep 27,CA135087N837,5/13/2022,9/1/2027,1/16/2026,100.37
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/5/2026,101.73
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/6/2026,101.78
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/7/2026,101.78
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/8/2026,101.80
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/9/2026,101.79
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/12/2026,101.81
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/13/2026,101.78
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/14/2026,101.81
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/15/2026,101.84
CAN 3.50 Mar 28,CA135087P576,10/21/2022,3/1/2028,1/16/2026,101.83
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/5/2026,101.34
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/6/2026,101.41
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/7/2026,101.40
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/8/2026,101.43
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/9/2026,101.42
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/12/2026,101.45
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/13/2026,101.42
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/14/2026,101.43
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/15/2026,101.48
CAN 3.25 Sep 28,CA135087Q491,4/21/2023,9/1/2028,1/16/2026,101.47
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/5/2026,103.63
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/6/2026,103.70
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/7/2026,103.71
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/8/2026,103.74
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/9/2026,103.73
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/12/2026,103.76
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/13/2026,103.72
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/14/2026,103.76
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/15/2026,103.79
CAN 4.00 Mar 29,CA135087Q988,10/13/2023,3/1/2029,1/16/2026,103.78
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/5/2026,102.22
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/6/2026,102.33
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/7/2026,102.37
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/8/2026,102.34
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/9/2026,102.31
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/12/2026,102.35
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/13/2026,102.29
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/14/2026,102.33
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/15/2026,102.43
CAN 3.50 Sep 29,CA135087R895,4/8/2024,9/1/2029,1/16/2026,102.42
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/5/2026,99.49
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/6/2026,99.42
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/7/2026,99.56
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/8/2026,99.50
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/9/2026,99.58
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/12/2026,99.53
